,open,high,low,close,average,turn,volume,amount,tnum
2009-1-5,,,,,,,,,
2009-1-6,,,,,,,,,
2009-1-7,,,,,,,,,
2009-1-8,,,,,,,,,
2009-1-9,,,,,,,,,
2009-1-12,,,,,,,,,
2009-1-13,,,,,,,,,
2009-1-14,,,,,,,,,
2009-1-15,,,,,,,,,
2009-1-16,,,,,,,,,
2009-1-19,,,,,,,,,
2009-1-20,,,,,,,,,
2009-1-21,,,,,,,,,
2009-1-22,,,,,,,,,
2009-1-23,,,,,,,,,
2009-2-2,,,,,,,,,
2009-2-3,,,,,,,,,
2009-2-4,,,,,,,,,
2009-2-5,,,,,,,,,
2009-2-6,,,,,,,,,
2009-2-9,,,,,,,,,
2009-2-10,,,,,,,,,
2009-2-11,,,,,,,,,
2009-2-12,,,,,,,,,
2009-2-13,,,,,,,,,
2009-2-16,,,,,,,,,
2009-2-17,,,,,,,,,
2009-2-18,,,,,,,,,
2009-2-19,,,,,,,,,
2009-2-20,,,,,,,,,
2009-2-23,,,,,,,,,
2009-2-24,,,,,,,,,
2009-2-25,,,,,,,,,
2009-2-26,,,,,,,,,
2009-2-27,,,,,,,,,
2009-3-2,,,,,,,,,
2009-3-3,,,,,,,,,
2009-3-4,,,,,,,,,
2009-3-5,,,,,,,,,
2009-3-6,,,,,,,,,
2009-3-9,,,,,,,,,
2009-3-10,,,,,,,,,
2009-3-11,,,,,,,,,
2009-3-12,,,,,,,,,
2009-3-13,,,,,,,,,
2009-3-16,,,,,,,,,
2009-3-17,,,,,,,,,
2009-3-18,,,,,,,,,
2009-3-19,,,,,,,,,
2009-3-20,,,,,,,,,
2009-3-23,,,,,,,,,
2009-3-24,,,,,,,,,
2009-3-25,,,,,,,,,
2009-3-26,,,,,,,,,
2009-3-27,,,,,,,,,
2009-3-30,,,,,,,,,
2009-3-31,,,,,,,,,
2009-4-1,,,,,,,,,
2009-4-2,,,,,,,,,
2009-4-3,,,,,,,,,
2009-4-7,,,,,,,,,
2009-4-8,,,,,,,,,
2009-4-9,,,,,,,,,
2009-4-10,,,,,,,,,
2009-4-13,,,,,,,,,
2009-4-14,,,,,,,,,
2009-4-15,,,,,,,,,
2009-4-16,,,,,,,,,
2009-4-17,,,,,,,,,
2009-4-20,,,,,,,,,
2009-4-21,,,,,,,,,
2009-4-22,,,,,,,,,
2009-4-23,,,,,,,,,
2009-4-24,,,,,,,,,
2009-4-27,,,,,,,,,
2009-4-28,,,,,,,,,
2009-4-29,,,,,,,,,
2009-4-30,,,,,,,,,
2009-5-4,,,,,,,,,
2009-5-5,,,,,,,,,
2009-5-6,,,,,,,,,
2009-5-7,,,,,,,,,
2009-5-8,,,,,,,,,
