,open,high,low,close,volume,amount
2005-01-04,3.34,3.46,3.2,3.42,289500.0,974110.0
2005-01-05,3.4,3.6,3.36,3.54,319400.0,1122529.13
2005-01-06,3.59,3.6,3.5,3.52,296900.0,1050549.0
2005-01-07,3.54,3.72,3.46,3.66,462400.0,1665259.13
2005-01-10,4.03,4.03,4.03,4.03,851100.0,3430211.0
2005-01-11,4.4,4.4,4.09,4.17,3580200.0,14942796.0
2005-01-12,4.16,4.16,3.9,3.98,1681000.0,6705935.0
2005-01-13,3.9,4.38,3.88,4.38,3708600.0,15674307.0
2005-01-14,4.51,4.68,4.25,4.43,6423200.0,28694980.0
2005-01-17,4.31,4.64,4.21,4.55,4740100.0,21365244.0
2005-01-18,4.52,4.55,4.35,4.49,2489700.0,11058992.0
2005-01-19,4.47,4.47,4.2,4.33,2675800.0,11515008.0
2005-01-20,4.33,4.45,4.13,4.23,2805100.0,12025329.0
2005-01-21,4.24,4.25,3.85,4.09,2606900.0,10631438.0
2005-01-24,4.13,4.4,4.1,4.19,2227900.0,9424220.0
2005-01-25,4.18,4.42,4.04,4.4,3664300.0,15676283.0
2005-01-26,4.36,4.36,4.18,4.22,1407600.0,6019811.0
2005-01-27,4.16,4.23,4.04,4.07,1329000.0,5463253.5
2005-01-28,4.01,4.12,3.66,3.77,1977100.0,7623551.0
2005-01-31,3.7,3.83,3.66,3.75,1008600.0,3774287.75
2005-02-01,3.71,3.81,3.4,3.43,1625600.0,5792333.5
2005-02-16,3.88,3.89,3.78,3.83,620800.0,2383552.0
2005-02-17,3.83,3.88,3.7,3.87,626000.0,2377698.25
2005-02-18,3.85,3.85,3.72,3.78,479800.0,1817641.5
2005-02-21,3.75,3.84,3.7,3.81,685000.0,2592967.25
2005-02-22,3.8,3.96,3.75,3.93,1151900.0,4498868.0
2005-02-23,3.96,4.1,3.92,4.03,1267500.0,5108042.5
2005-02-24,4.0,4.03,3.93,3.98,877600.0,3485990.75
2005-02-25,3.98,4.08,3.97,4.06,1084300.0,4359365.0
2005-02-28,4.16,4.27,4.0,4.11,1888700.0,7832942.0
2005-03-01,4.08,4.13,4.0,4.05,750300.0,3033157.0
2005-03-02,4.06,4.09,3.9,3.91,731100.0,2913163.0
2005-03-03,3.93,3.95,3.8,3.95,681700.0,2632844.0
2005-03-04,3.96,3.99,3.86,3.88,455100.0,1769374.5
2005-03-07,3.85,3.89,3.8,3.86,399000.0,1537030.38
2005-03-08,3.86,3.94,3.85,3.94,539800.0,2101833.25
2005-03-09,3.98,3.98,3.87,3.89,594300.0,2332057.75
2005-03-10,3.9,3.94,3.75,3.76,647400.0,2478013.0
2005-03-11,3.76,3.82,3.7,3.71,463000.0,1730810.25
2005-03-14,3.71,3.72,3.61,3.68,537900.0,1968968.5
2005-03-15,3.63,3.68,3.63,3.64,426700.0,1553816.63
2005-03-16,3.63,3.72,3.61,3.69,384200.0,1401213.88
2005-03-17,3.68,3.7,3.55,3.57,445900.0,1616852.38
2005-03-18,3.55,3.55,3.36,3.42,575100.0,1975410.75
2005-03-21,3.4,3.5,3.4,3.49,324400.0,1123232.63
2005-03-22,3.49,3.52,3.23,3.29,353900.0,1187223.5
2005-03-23,3.27,3.38,3.26,3.32,430400.0,1429621.38
2005-03-24,3.33,3.43,3.29,3.4,280400.0,945461.13
2005-03-25,3.4,3.45,3.36,3.36,391900.0,1327771.0
2005-03-28,3.36,3.36,3.22,3.33,379000.0,1241971.25
2005-03-29,3.31,3.39,3.26,3.31,290500.0,970378.88
2005-03-30,3.36,3.48,3.2,3.36,943200.0,3173299.25
2005-03-31,3.36,3.52,3.23,3.51,1129500.0,3871908.5
2005-04-01,3.49,3.61,3.39,3.51,1174400.0,4093785.75
2005-04-04,3.5,3.5,3.38,3.4,596700.0,2049839.88
2005-04-05,3.35,3.53,3.35,3.43,608600.0,2112828.0
2005-04-06,3.43,3.47,3.31,3.37,456600.0,1534467.0
2005-04-07,3.37,3.7,3.37,3.6,1980500.0,7045280.5
2005-04-08,3.57,3.77,3.5,3.68,1957400.0,7181198.0
2005-04-11,3.69,3.74,3.57,3.58,964300.0,3499711.25
2005-04-12,3.56,3.67,3.49,3.49,876300.0,3126727.0
2005-04-13,3.54,3.62,3.5,3.56,641100.0,2278185.75
2005-04-14,3.56,3.56,3.32,3.36,1012000.0,3460785.0
2005-04-15,3.33,3.36,3.21,3.3,737500.0,2423619.25
2005-04-18,3.28,3.33,3.23,3.27,524200.0,1722942.63
2005-04-19,3.27,3.3,3.08,3.14,474500.0,1504257.5
2005-04-20,3.14,3.14,2.9,2.96,755100.0,2235906.5
2005-04-21,2.96,2.96,2.76,2.78,481700.0,1375606.75
2005-04-22,2.75,2.84,2.71,2.71,541100.0,1504138.38
2005-04-25,2.62,2.62,2.44,2.49,1050800.0,2605335.0
2005-04-26,2.53,2.64,2.47,2.6,702500.0,1803995.0
2005-04-27,2.6,2.6,2.53,2.55,535100.0,1372944.38
2005-04-28,2.53,2.74,2.45,2.68,806400.0,2109730.25
2005-04-29,2.67,2.67,2.58,2.63,719500.0,1879150.75
2005-05-09,2.89,2.89,2.89,2.89,738100.0,2133242.0
2005-05-10,2.95,3.18,2.92,3.18,4059400.0,12497908.0
2005-05-11,3.28,3.5,3.28,3.5,3739800.0,12768192.0
2005-05-12,3.52,3.78,3.32,3.68,7176100.0,25476568.0
2005-05-13,3.58,3.63,3.45,3.55,5234700.0,18453776.0
